,usdrub,gold,cb_key_rate,fed_rate,imoex_open,imoex_close,ru_cpi,us_cpi,workday,first_workday,second_workday,imoex_vol,ru_monetary,us_monetary
28.12.2015,69.5165,2395.7,11.0,0.5,1734.21,1731.2,100.77,100.10767114875864,workday,1,0,-3.009999999999991,1.7600000000000477,-0.7920537851036897
29.12.2015,70.7865,2439.47,11.0,0.5,1728.23,1763.38,100.77,100.10767114875864,workday,0,1,35.15000000000009,1.7600000000000477,-0.7920537851036897
30.12.2015,72.5066,2487.91,11.0,0.5,1763.71,1761.36,100.77,100.10767114875864,workday,0,0,-2.3500000000001364,1.7600000000000477,-0.7920537851036897
04.01.2016,72.5066,2487.91,11.0,0.5,1761.42,1734.56,100.96,100.045865382997,day off,0,0,-26.860000000000127,-0.519999999999925,-0.05038459596391931
05.01.2016,72.5066,2487.91,11.0,0.5,1734.55,1754.13,100.96,100.045865382997,day off,0,0,19.580000000000155,-0.519999999999925,-0.05038459596391931
06.01.2016,72.5066,2487.91,11.0,0.5,1753.75,1748.57,100.96,100.045865382997,day off,0,0,-5.180000000000064,-0.519999999999925,-0.05038459596391931
11.01.2016,72.5066,2487.91,11.0,0.5,1748.04,1682.54,100.96,100.045865382997,workday,1,0,-65.5,-0.519999999999925,-0.05038459596391931
12.01.2016,75.9507,2697.53,11.0,0.5,1682.72,1690.3,100.96,100.045865382997,workday,0,1,7.579999999999927,-0.519999999999925,-0.05038459596391931
13.01.2016,76.6041,2696.48,11.0,0.5,1692.48,1684.78,100.96,100.045865382997,workday,0,0,-7.7000000000000455,-0.519999999999925,-0.05038459596391931
14.01.2016,76.4275,2658.2,11.0,0.5,1684.77,1680.77,100.96,100.045865382997,workday,0,0,-4.0,-0.519999999999925,-0.05038459596391931
15.01.2016,76.523,2683.54,11.0,0.5,1680.81,1608.36,100.96,100.045865382997,workday,0,0,-72.45000000000005,-0.519999999999925,-0.05038459596391931
18.01.2016,76.523,2683.54,11.0,0.5,1607.88,1622.43,100.96,100.045865382997,workday,1,0,14.549999999999955,-0.519999999999925,-0.05038459596391931
19.01.2016,78.6678,2758.0,11.0,0.5,1622.53,1645.56,100.96,100.045865382997,workday,0,1,23.029999999999973,-0.519999999999925,-0.05038459596391931
20.01.2016,78.4862,2742.92,11.0,0.5,1641.62,1630.39,100.96,100.045865382997,workday,0,0,-11.22999999999979,-0.519999999999925,-0.05038459596391931
21.01.2016,79.4614,2792.84,11.0,0.5,1630.57,1677.19,100.96,100.045865382997,workday,0,0,46.62000000000012,-0.519999999999925,-0.05038459596391931
22.01.2016,83.5913,2947.67,11.0,0.5,1683.75,1717.98,100.96,100.045865382997,workday,0,0,34.23000000000002,-0.519999999999925,-0.05038459596391931
25.01.2016,83.5913,2947.67,11.0,0.5,1718.25,1716.56,100.96,100.045865382997,workday,1,0,-1.6900000000000546,-0.519999999999925,-0.05038459596391931
26.01.2016,77.7965,2760.59,11.0,0.5,1716.86,1705.01,100.96,100.045865382997,workday,0,1,-11.849999999999909,-0.519999999999925,-0.05038459596391931
27.01.2016,81.8394,2932.99,11.0,0.5,1705.1,1747.57,100.96,100.045865382997,workday,0,0,42.47000000000003,-0.519999999999925,-0.05038459596391931
28.01.2016,78.9969,2835.69,11.0,0.5,1747.63,1771.93,100.96,100.045865382997,workday,0,0,24.299999999999955,-0.519999999999925,-0.05038459596391931
29.01.2016,77.3674,2783.42,11.0,0.5,1772.01,1784.92,100.96,100.045865382997,workday,0,0,12.910000000000082,-0.519999999999925,-0.05038459596391931
01.02.2016,77.3674,2783.42,11.0,0.5,1785.01,1773.21,100.63,100.13314457140928,workday,1,0,-11.799999999999955,3.4400000000000546,-1.097734856911302
02.02.2016,76.3264,2753.33,11.0,0.5,1771.37,1758.26,100.63,100.13314457140928,workday,0,1,-13.1099999999999,3.4400000000000546,-1.097734856911302
03.02.2016,77.9273,2815.09,11.0,0.5,1757.9,1746.35,100.63,100.13314457140928,workday,0,0,-11.550000000000182,3.4400000000000546,-1.097734856911302
04.02.2016,79.2593,2879.52,11.0,0.5,1745.21,1787.93,100.63,100.13314457140928,workday,0,0,42.72000000000003,3.4400000000000546,-1.097734856911302
05.02.2016,76.4609,2817.8,11.0,0.5,1786.7,1780.59,100.63,100.13314457140928,workday,0,0,-6.110000000000127,3.4400000000000546,-1.097734856911302
08.02.2016,76.4609,2817.8,11.0,0.5,1780.26,1744.27,100.63,100.13314457140928,workday,1,0,-35.99000000000001,3.4400000000000546,-1.097734856911302
